insee,Description,norm_km2_total_traffic,norm_total_traffic_period
10317,Curfew 8pm,28506387762628.54,-0.11710045072642346
10318,Curfew 8pm,35151523385546.234,-0.11388993819072248
10319,Curfew 8pm,56932283118495.25,-0.10336684187970686
1032,Curfew 8pm,290973463483803.25,0.009707169859297612
10320,Curfew 8pm,85328231992690.39,-0.08964770129372453
10321,Curfew 8pm,324436904787933.3,0.025874604790810933
10323,Curfew 8pm,201229688715783.0,-0.03365139048372607
10324,Curfew 8pm,349922416555503.25,0.03818760480338437
10325,Curfew 8pm,678022654900385.8,0.19670505093945206
10326,Curfew 8pm,96643552473313.6,-0.08418084849944489
10327,Curfew 8pm,222240965986407.12,-0.023500059811740616
10328,Curfew 8pm,156651634053974.4,-0.05518870912253815
10329,Curfew 8pm,358182176050577.0,0.04217820227281059
1033,Curfew 8pm,643447953641626.0,0.1800007249319377
10330,Curfew 8pm,28381490741846.387,-0.1171607931292948
10331,Curfew 8pm,28479261378302.316,-0.1171135564930879
10332,Curfew 8pm,209975626528298.5,-0.02942590216010124
10333,Curfew 8pm,2071287619935889.8,0.8698432515162287
10334,Curfew 8pm,151569703251135.0,-0.05764397918381601
10335,Curfew 8pm,41971744205427.58,-0.11059483547484088
10336,Curfew 8pm,166796050526652.47,-0.05028756366802232
10337,Curfew 8pm,247191309817749.94,-0.011445619362953477
10338,Curfew 8pm,112281393033249.28,-0.0766256252507548
10339,Curfew 8pm,64682710682040.11,-0.0996223216378645
1034,Curfew 8pm,162639407489083.34,-0.05229579274502202
10340,Curfew 8pm,232879828623340.12,-0.018360028998272132
10341,Curfew 8pm,125477239609295.45,-0.07025022025443338
10342,Curfew 8pm,156297302725341.84,-0.055359899785440966
10343,Curfew 8pm,775226489955563.5,0.24366784427757118
10344,Curfew 8pm,395069759277206.0,0.05999996770862372
10345,Curfew 8pm,89067728369708.44,-0.08784101130620649
10346,Curfew 8pm,26368447920482.746,-0.11813336909758679
10347,Curfew 8pm,96668111359390.88,-0.08416898318681801
10348,Curfew 8pm,50987643833696.74,-0.10623891854255851
10349,Curfew 8pm,77691735809979.22,-0.09333717704179993
1035,Curfew 8pm,60603915764619.43,-0.10159293938835412
10350,Curfew 8pm,42958441327081.72,-0.11011812534313406
10351,Curfew 8pm,113727071322869.06,-0.07592716422079358
10352,Curfew 8pm,147783221573955.2,-0.05947336951993833
10353,Curfew 8pm,57263795183895.61,-0.10320667605283745
10354,Curfew 8pm,112499846833371.53,-0.07652008208300586
10355,Curfew 8pm,21176484886123.617,-0.12064179982836352
10356,Curfew 8pm,72109881573990.83,-0.09603397873464903
10357,Curfew 8pm,413165992351177.0,0.06874293195040408
10358,Curfew 8pm,188681053348463.12,-0.0397141036379584
10359,Curfew 8pm,31118828648103.445,-0.11583828322713736
1036,Curfew 8pm,75809955400419.66,-0.09424633524972147
10360,Curfew 8pm,187980865852071.16,-0.04005239029786565
10361,Curfew 8pm,35467735795552.83,-0.11373716419725137
10362,Curfew 8pm,1273820104740179.5,0.4845569910642589
10363,Curfew 8pm,203216386710520.53,-0.03269154268246234
10364,Curfew 8pm,55535414741025.125,-0.10404172102304977
10365,Curfew 8pm,74233892477549.36,-0.09500778995253864
10366,Curfew 8pm,16842159441284.621,-0.12273587389458303
10367,Curfew 8pm,38494592573615.06,-0.11227477694420182
10368,Curfew 8pm,43110123930403.19,-0.11004484182763562
10369,Curfew 8pm,53135200495024.805,-0.10520135392784345
1037,Curfew 8pm,198799209051738.56,-0.034825645739295225
10370,Curfew 8pm,166658969411904.0,-0.050353792660518724
10371,Curfew 8pm,105049708917558.92,-0.0801195212109187
10372,Curfew 8pm,9163521485189.371,-0.126445709903066
10373,Curfew 8pm,71901390360105.03,-0.09613470860590333
10374,Curfew 8pm,64270361857426.26,-0.09982154271409636
10375,Curfew 8pm,84870519166940.84,-0.08986883940861146
10376,Curfew 8pm,159336065888389.8,-0.05389176011431892
10377,Curfew 8pm,10471539907361.69,-0.1258137574825873
10378,Curfew 8pm,7792408225977.605,-0.12710814578945842
10379,Curfew 8pm,160313229590258.06,-0.05341965593280899
1038,Curfew 8pm,55475632664985.62,-0.10407060397073155
10380,Curfew 8pm,169302643554811.62,-0.04907653521119871
10381,Curfew 8pm,33729935650392.008,-0.11457676017650273
10382,Curfew 8pm,48330380901507.78,-0.107522741242132
10383,Curfew 8pm,139757686660182.94,-0.06335080436980199
10384,Curfew 8pm,48339850470995.375,-0.1075181661403925
10386,Curfew 8pm,56199173044100.95,-0.1037210346633386
10387,Curfew 8pm,1620263898146163.0,0.651936891906274
10388,Curfew 8pm,75719650770416.6,-0.09428996478011913
10389,Curfew 8pm,146609633609581.84,-0.060040373579023885
1039,Curfew 8pm,195690050857702.6,-0.03632779587194324
10390,Curfew 8pm,35092815670030.844,-0.11391830207481757
10391,Curfew 8pm,276001676531409.88,0.0024737419174013465
10392,Curfew 8pm,64901372943218.984,-0.0995166777548144
10393,Curfew 8pm,89449535378562.16,-0.08765654611878189
10394,Curfew 8pm,14092482132472.898,-0.12406434542172944
10395,Curfew 8pm,39463367428909.51,-0.11180672572693727
10396,Curfew 8pm,55169426460397.72,-0.10421854359365638
10397,Curfew 8pm,9002354432339.762,-0.12652357570940578
10398,Curfew 8pm,29758692277210.367,-0.11649541576991874
10399,Curfew 8pm,234545168650705.16,-0.017555441200903372
1040,Curfew 8pm,76305321763389.28,-0.09400700530849443
10400,Curfew 8pm,81272346840583.38,-0.09160725048325417
10401,Curfew 8pm,19655412749776.613,-0.1213766864339289
10402,Curfew 8pm,128514331095569.84,-0.06878288823262681
10403,Curfew 8pm,119085397696844.31,-0.07333835716399023
10404,Curfew 8pm,27588893556624.586,-0.11754372635192759
10405,Curfew 8pm,170895687455441.06,-0.04830687636552308
10406,Curfew 8pm,273363966353427.25,0.0011993658816807989
10408,Curfew 8pm,118522729782630.36,-0.07361020299145393
10409,Curfew 8pm,90759817301185.19,-0.0870235001169252
1041,Curfew 8pm,799375825300564.4,0.25533528769085245
10410,Curfew 8pm,66346736339391.0,-0.09881836886160689
10411,Curfew 8pm,81704271397686.42,-0.09139857164150503
10412,Curfew 8pm,299940667253007.9,0.014039560008255297
10414,Curfew 8pm,148576983912439.2,-0.059089873368365235
10416,Curfew 8pm,121354643453029.75,-0.07224200001490608
10417,Curfew 8pm,102588194587915.64,-0.08130877046940976
10418,Curfew 8pm,67851729241487.6,-0.098091250733023
10419,Curfew 8pm,139532624798899.61,-0.06345954013803318
1042,Curfew 8pm,828443029309964.5,0.2693787366353876
10420,Curfew 8pm,78724395941466.05,-0.0928382604680248
10421,Curfew 8pm,187330302076230.7,-0.04036670189000313
10422,Curfew 8pm,145782550708648.5,-0.06043996813543183
10423,Curfew 8pm,145957600095778.34,-0.06035539525631573
10424,Curfew 8pm,130340170646068.16,-0.0679007571373882
10425,Curfew 8pm,272842660478485.34,0.0009475035960318126
10426,Curfew 8pm,20223137693985.254,-0.12110239736691183
10427,Curfew 8pm,49304379835537.33,-0.10705216607784541
10428,Curfew 8pm,16564868921260.723,-0.12286984327325116
10429,Curfew 8pm,105147770607583.45,-0.08007214395589174
1043,Curfew 8pm,347960659882937.9,0.03723980708386984
10430,Curfew 8pm,57763026624549.12,-0.10296547874861593
10431,Curfew 8pm,23297541678402.46,-0.11961703828744633
10432,Curfew 8pm,86534435965887.75,-0.08906493922590353
10433,Curfew 8pm,73226305613614.44,-0.09549459269683694
10434,Curfew 8pm,185241061856346.5,-0.041376091659701124
10435,Curfew 8pm,430640935982399.6,0.07718572812076645
10436,Curfew 8pm,74350283718677.56,-0.09495155700863918
