app,LN-2019,C5-2019,C6-2019,LA-2019,C52-2019,LN-C5,LN-C6,LN-C52,LL,LA-C5,LA-C6,LA-C52,C5-C6,C5-C52,C6-C52
HTTP_GAMES,2.983625205458611,2.7116059496728355,2.2404105450537988,3.0339304303876364,2.2943386685677183,3.8439220602046498,2.656629084661541,3.009894504691751,2.726668160725368,3.157212770905126,2.3529237995371077,2.6678685371232245,2.3336673407616577,2.4219022145479565,1.883453904822439
RTMP Protocol Streaming,6.101128074840259,5.127865578063452,4.7700853076374505,4.85494233777125,5.177321055790441,3.876719336763323,3.1020127287515726,3.382352182942692,3.843050730663088,3.2803944435727908,3.0977261100925837,2.955802540141168,3.577863250901475,3.622391185496835,2.6615073400307794
EA Games,3.8323225789037765,4.1307155845453,3.9992102247655206,4.598787342362362,4.529108715854429,3.0563169618756807,3.2564019341913286,4.366836941287819,3.2073354677393593,3.6521563366388055,3.405941893456369,4.07873326994524,3.0622675885880555,4.006969303748842,3.652138894188341
Microsoft Sharepoint,1.9247439667895032,2.1553917758396217,1.6514183192638971,2.1523470072512554,2.1998229614156335,1.470092717807891,1.1299257309352007,1.4893388132613616,1.2417624914134973,1.6951358441056423,1.3276477523042858,1.6093634582115817,1.535980384877408,1.6512957338083452,1.3797108978756965
Pokemon GO,2.603292825255409,2.7546517244904214,3.0655241714724766,2.923766083389863,2.966080261716673,2.925942696246405,3.2305294166282694,3.4154749365493724,3.3716411541634375,2.489927009281478,2.6678832674547155,2.788132227608265,2.34946651719978,2.108846368248395,2.5061038370767044
GameLoft,2.9417593808999967,2.893184999235208,2.667104611077345,3.083296360550073,2.888680033131358,2.9461574489678934,2.929131050072856,2.962808359925198,3.4730452397425626,3.0184186673313316,2.8900843784111054,3.144717029264901,2.6200298725813345,2.8872855611140413,2.451686202578708
Institutional,3.6248640838544195,1.9494860244432841,2.3348711209356763,2.767258497011435,2.2531853053417588,4.329087977745685,2.8716659383689564,2.645445710662674,2.0909468752665243,3.413003781848202,2.3178247015953732,1.9086110484299295,2.4314608166979004,2.3594324680776664,1.7883931561725088
Tripadvisor,2.903944844209832,2.9329708150829457,3.549919395447367,3.416819783592316,3.5711457979369228,2.4432133175164767,2.5398616436872175,3.3914969727652515,2.4731437292197174,1.5232371308625297,1.4148420160718242,2.6070461394108477,1.938276448638431,2.536645421048806,2.6169615104386676
MegaUpload,2.859077550929326,3.118771808232643,3.046883173563574,3.64171416130009,3.4414566350013254,3.1907895703581306,3.093453338604398,3.2416152437288144,3.5794384353639033,3.409646105072105,3.1334840539268787,3.1720034017412573,2.8454613059827865,3.2701515648548023,2.617194686384797
ftp,3.673466364667502,4.50975579491337,3.4273200869272493,3.53653528149964,4.222263826599736,4.959361810458586,4.375149956504648,4.805964540602322,4.024914700412464,3.8067122379495757,3.522765646499606,3.42317728295382,3.754207410134562,3.979105201826153,3.879376719434463
riot games,2.9347562576107373,3.59948943353394,3.128530843185967,3.0814661431228423,3.5034638672877376,2.498454694750874,2.1236857932222732,2.842511630105167,2.597519857708689,2.5437908179960935,2.2606481798892726,1.7882000906999334,2.2612711388870097,2.5961252836358626,2.1875916250151493
Odnoklassniki,2.7434888010777634,3.3482800529944847,3.4229555591023755,4.274579551973987,4.4666249838314585,3.2825790482395547,2.8903847495589785,4.0411220940176795,3.706275968896688,4.083861777648154,3.3058900823622044,4.345192408903996,3.836249124768127,4.36920167012159,3.9270302534112584
TV,4.078710277290477,4.639691160915932,3.3520221736090052,3.054635714423258,3.6673023195967045,3.926385273947619,2.779442931348321,5.462178385563512,3.5395545050381294,4.4060673747422054,2.711267962325785,3.7415881659391634,3.938578258197128,5.562840991207955,3.9630523375558084
Yahoo Mail,1.1022293668467862,1.6383955837669664,1.1151723658175825,1.4115349733299822,1.0171179668220203,1.4564715459854212,0.911016590285064,1.1482500137056013,1.4722984330770912,1.0315977184453877,0.9744164589839098,0.8848397767718189,1.0995091823534398,1.2564587293184633,0.6788655191598543
Clash of Clans,2.7401388054786,3.149692298603692,2.398969240114092,3.644153264518963,3.259801579133389,2.162956140030783,2.164570159541034,2.4238766006273327,3.153310911704056,3.2219397586757137,3.5071554862754826,3.1858837197583383,2.7797040674094697,2.5097182256523083,2.0238529735621444
Radio,3.5123380777052597,3.781414969161336,3.554721756390243,3.978497586400085,3.6817284290477517,2.3609174352057787,1.7629872231246475,2.195488544263205,2.34735557010298,2.831841353434856,1.9833362391212894,2.4689134373659627,2.246041062792302,2.529994717362508,1.840195382986832
Google Docs,2.7567738198052694,2.5912156248483686,2.907137724843772,3.8590795676369805,4.017736794794863,1.9538340016692537,2.144909890417954,3.021799183047918,2.9430621655147666,2.116936543104451,2.5508910983166952,2.3708248112819934,2.0088293851734376,2.698430322536613,2.6899868136540754
Apple Siri,1.416634369089392,1.8256480733188394,1.8421068751168257,2.304918002151822,2.0792249071763313,1.2701682965492689,1.5426453207597663,1.9319110694615536,1.9735903042975125,1.6599502349934083,2.402306670997923,1.7950562545353184,1.7707639200192324,1.769024563530661,1.8153770897451365
